year,Winner,Loser
1996,New York Knicks (5),Cleveland Cavaliers (4)
1996,Orlando Magic (2),Detroit Pistons (7)
1996,Houston Rockets (5),Los Angeles Lakers (4)
1996,San Antonio Spurs (2),Phoenix Suns (7)
1996,Seattle SuperSonics (1),Sacramento Kings (8)
1996,Utah Jazz (3),Portland Trail Blazers (6)
1996,Chicago Bulls (1),New York Knicks (5)
1996,Orlando Magic (2),Atlanta Hawks (6)
1996,Seattle SuperSonics (1),Houston Rockets (5)
1996,Utah Jazz (3),San Antonio Spurs (2)
1996,Chicago Bulls (1),Orlando Magic (2)
1996,Seattle SuperSonics (1),Utah Jazz (3)
1996,Chicago Bulls (1),Seattle SuperSonics (1)
1995,Chicago Bulls (5),Charlotte Hornets (4)
1995,Indiana Pacers (2),Atlanta Hawks (7)
1995,New York Knicks (3),Cleveland Cavaliers (6)
1995,Orlando Magic (1),Boston Celtics (8)
1995,Houston Rockets (6),Utah Jazz (3)
1995,Los Angeles Lakers (5),Seattle SuperSonics (4)
1995,Phoenix Suns (2),Portland Trail Blazers (7)
1995,San Antonio Spurs (1),Denver Nuggets (8)
1995,Indiana Pacers (2),New York Knicks (3)
1995,Orlando Magic (1),Chicago Bulls (5)
1995,Houston Rockets (6),Phoenix Suns (2)
1995,San Antonio Spurs (1),Los Angeles Lakers (5)
1995,Orlando Magic (1),Indiana Pacers (2)
1995,Houston Rockets (6),San Antonio Spurs (1)
1995,Houston Rockets (6),Orlando Magic (1)
1994,Atlanta Hawks (1),Miami Heat (8)
1994,Chicago Bulls (3),Cleveland Cavaliers (6)
1994,Indiana Pacers (5),Orlando Magic (4)
1994,New York Knicks (2),New Jersey Nets (7)
1994,Denver Nuggets (8),Seattle SuperSonics (1)
1994,Houston Rockets (2),Portland Trail Blazers (7)
1994,Phoenix Suns (3),Golden State Warriors (6)
1994,Utah Jazz (5),San Antonio Spurs (4)
1994,Indiana Pacers (5),Atlanta Hawks (1)
1994,New York Knicks (2),Chicago Bulls (3)
1994,Houston Rockets (2),Phoenix Suns (3)
1994,Utah Jazz (5),Denver Nuggets (8)
1994,New York Knicks (2),Indiana Pacers (5)
1994,Houston Rockets (2),Utah Jazz (5)
1994,Houston Rockets (2),New York Knicks (2)
1993,Charlotte Hornets (5),Boston Celtics (4)
1993,Chicago Bulls (2),Atlanta Hawks (7)
1993,Cleveland Cavaliers (3),New Jersey Nets (6)
1993,New York Knicks (1),Indiana Pacers (8)
1993,Houston Rockets (2),Los Angeles Clippers (7)
1993,Phoenix Suns (1),Los Angeles Lakers (8)
1993,San Antonio Spurs (5),Portland Trail Blazers (4)
1993,Seattle SuperSonics (3),Utah Jazz (6)
1993,Chicago Bulls (2),Cleveland Cavaliers (3)
1993,New York Knicks (1),Charlotte Hornets (5)
1993,Phoenix Suns (1),San Antonio Spurs (5)
1993,Seattle SuperSonics (3),Houston Rockets (2)
1993,Chicago Bulls (2),New York Knicks (1)
1993,Phoenix Suns (1),Seattle SuperSonics (3)
1993,Chicago Bulls (2),Phoenix Suns (1)
1992,Boston Celtics (2),Indiana Pacers (7)
1992,Chicago Bulls (1),Miami Heat (8)
1992,Cleveland Cavaliers (3),New Jersey Nets (6)
1992,New York Knicks (4),Detroit Pistons (5)
1992,Phoenix Suns (4),San Antonio Spurs (5)
1992,Portland Trail Blazers (1),Los Angeles Lakers (8)
1992,Seattle SuperSonics (6),Golden State Warriors (3)
1992,Utah Jazz (2),Los Angeles Clippers (7)
1992,Chicago Bulls (1),New York Knicks (4)
1992,Cleveland Cavaliers (3),Boston Celtics (2)
1992,Portland Trail Blazers (1),Phoenix Suns (4)
1992,Utah Jazz (2),Seattle SuperSonics (6)
1992,Chicago Bulls (1),Cleveland Cavaliers (3)
1992,Portland Trail Blazers (1),Utah Jazz (2)
1992,Chicago Bulls (1),Portland Trail Blazers (1)
1991,Boston Celtics (2),Indiana Pacers (7)
1991,Chicago Bulls (1),New York Knicks (8)
1991,Detroit Pistons (3),Atlanta Hawks (6)
1991,Philadelphia 76ers (5),Milwaukee Bucks (4)
1991,Golden State Warriors (7),San Antonio Spurs (2)
1991,Los Angeles Lakers (3),Houston Rockets (6)
1991,Portland Trail Blazers (1),Seattle SuperSonics (8)
1991,Utah Jazz (5),Phoenix Suns (4)
1991,Chicago Bulls (1),Philadelphia 76ers (5)
